#,T,I,T,L,E
K,E,Y
V,A,L,U,E
S,W,M,H
k_aljazira,k_aljazira,,Al Jazira
k_aljazira,k_aljazira_adj,,Jaziran
k_aljazira,greek,,Assyria
k_aljazira,k_aljazira_adj_greek,,Assyrian
k_aljazira,roman,,Assyria
d_amida,d_amida,,Amid
d_amida,d_amida_adj,,Amidan
d_amida,andalusian_arabic,,Diyar Bakr
d_amida,d_amida_adj_andalusian_arabic,,Diyar Bakrian
d_amida,armenian,,Aghdznik
d_amida,d_amida_adj_armenian,,Aghdznikan
d_amida,bedouin_arabic,,Diyar Bakr
d_amida,d_amida_adj_bedouin_arabic,,Diyar Bakrian
d_amida,egyptian_arabic,,Diyar Bakr
d_amida,d_amida_adj_egyptian_arabic,,Diyar Bakrian
d_amida,greek,,Arzanene
d_amida,d_amida_adj_greek,,Arzanenan
d_amida,kurdish,,Amed
d_amida,levantine_arabic,,Diyar Bakr
d_amida,d_amida_adj_levantine_arabic,,Diyar Bakrian
d_amida,maghreb_arabic,,Diyar Bakr
d_amida,d_amida_adj_maghreb_arabic,,Diyar Bakrian
d_amida,oghuz,,Diyar-i Bekr
d_amida,d_amida_adj_oghuz,,Diyar-i Bekrian
d_amida,sicilian_arabic,,Diyar Bakr
d_amida,d_amida_adj_sicilian_arabic,,Diyar Bakrian
d_amida,turkish,,Diyar-i Bekr
d_amida,d_amida_adj_turkish,,Diyar-i Bekrian
d_amida,turkmen,,Diyar-i Bekr
d_amida,d_amida_adj_turkmen,,Diyar-i Bekrian
c_amida,PROV683,,Amida
c_amida,c_amida,,
c_amida,c_amida_adj,,Amidan
c_amida,andalusian_arabic,,Âmid
c_amida,c_amida_adj_andalusian_arabic,,Âmidan
c_amida,armenian,,Tigranakert
c_amida,c_amida_adj_armenian,,Tigranokertan
c_amida,assyrian,,Amid
c_amida,bedouin_arabic,,Âmid
c_amida,c_amida_adj_bedouin_arabic,,Âmidan
c_amida,egyptian_arabic,,Âmid
c_amida,c_amida_adj_egyptian_arabic,,Âmidan
c_amida,kurdish,,Amed
c_amida,c_amida_adj_kurdish,,Amedian
c_amida,levantine_arabic,,Âmid
c_amida,c_amida_adj_levantine_arabic,,Âmidan
c_amida,maghreb_arabic,,Âmid
c_amida,c_amida_adj_maghreb_arabic,,Âmidan
c_amida,oghuz,,Diyar-i Bekr
c_amida,c_amida_adj_oghuz,,Diyar-i Bekrian
c_amida,sicilian_arabic,,Âmid
c_amida,c_amida_adj_sicilian_arabic,,Âmidan
c_amida,turkish,,Diyar-i Bekr
c_amida,c_amida_adj_turkish,,Diyar-i Bekrian
c_amida,turkmen,,Diyar-i Bekr
c_amida,c_amida_adj_turkmen,,Diyar-i Bekrian
b_kiaburc,b_kiaburc,,Kia Burc
b_kiaburc,b_kiaburc_adj,,
b_amida,b_amida,,Amida
b_amida,b_amida_adj,,
b_amida,andalusian_arabic,,Âmid
b_amida,armenian,,Tigranakert
b_amida,assyrian,,Amid
b_amida,bedouin_arabic,,Âmid
b_amida,egyptian_arabic,,Âmid
b_amida,kurdish,,Amed
b_amida,levantine_arabic,,Âmid
b_amida,maghreb_arabic,,Âmid
b_amida,oghuz,,Diyar-i Bekr
b_amida,sicilian_arabic,,Âmid
b_amida,turkish,,Diyar-i Bekr
b_amida,turkmen,,Diyar-i Bekr
b_ulucamii,b_ulucamii,,Ulu Camii
b_ulucamii,b_ulucamii_adj,,
b_ulucamii,armenian,,Surp Giragos
b_ulucamii,greek,,Monì tìs Agios Giragos
b_suraamede,b_suraamede,,Sura Amede
b_suraamede,b_suraamede_adj,,
b_hazretisuleymancamii,b_hazretisuleymancamii,,Hazreti Suleyman Cami
b_hazretisuleymancamii,b_hazretisuleymancamii_adj,,
b_egil,b_egil,,Egil
b_egil,b_egil_adj,,
b_idtodyolataloho,b_idtodyolataloho,,Idto d-Yolat Aloh
b_idtodyolataloho,b_idtodyolataloho_adj,,
c_hisn_kayf,PROV1482,,Hisn Kayf
c_hisn_kayf,c_hisn_kayf,,
c_hisn_kayf,c_hisn_kayf_adj,,
c_hisn_kayf,andalusian_arabic,,Mayyafariqin
c_hisn_kayf,c_hisn_kayf_adj_andalusian_arabic,,Mayyafariqinan
c_hisn_kayf,armenian,,Nprkert
c_hisn_kayf,c_hisn_kayf_adj_armenian,,Harsenkevian
c_hisn_kayf,assyrian,,Mayperqit
c_hisn_kayf,bedouin_arabic,,Mayyafariqin
c_hisn_kayf,c_hisn_kayf_adj_bedouin_arabic,,Mayyafariqinan
c_hisn_kayf,egyptian_arabic,,Mayyafariqin
c_hisn_kayf,c_hisn_kayf_adj_egyptian_arabic,,Mayyafariqinan
c_hisn_kayf,greek,,Martyropolis
c_hisn_kayf,c_hisn_kayf_adj_greek,,Kiphan
c_hisn_kayf,kurdish,,Heskîf
c_hisn_kayf,c_hisn_kayf_adj_kurdish,,Heskîfan
c_hisn_kayf,levantine_arabic,,Mayyafariqin
c_hisn_kayf,c_hisn_kayf_adj_levantine_arabic,,Mayyafariqinan
c_hisn_kayf,maghreb_arabic,,Mayyafariqin
c_hisn_kayf,c_hisn_kayf_adj_maghreb_arabic,,Mayyafariqinan
c_hisn_kayf,oghuz,,Hasankeyf
c_hisn_kayf,c_hisn_kayf_adj_oghuz,,Hasankeyfan
c_hisn_kayf,sicilian_arabic,,Mayyafariqin
c_hisn_kayf,c_hisn_kayf_adj_sicilian_arabic,,Mayyafariqinan
c_hisn_kayf,turkish,,Hasankeyf
c_hisn_kayf,c_hisn_kayf_adj_turkish,,Hasankeyfan
c_hisn_kayf,turkmen,,Hasankeyf
c_hisn_kayf,c_hisn_kayf_adj_turkmen,,Hasankeyfan
b_mayyafarikin,b_mayyafarikin,,Mayyafarikin
b_mayyafarikin,b_mayyafarikin_adj,,
b_mayyafarikin,andalusian_arabic,,Mayyafariqin
b_mayyafarikin,armenian,,Nprkert
b_mayyafarikin,assyrian,,Mayperqit
b_mayyafarikin,bedouin_arabic,,Mayyafariqin
b_mayyafarikin,egyptian_arabic,,Mayyafariqin
b_mayyafarikin,greek,,Martyropolis
b_mayyafarikin,kurdish,,Farqîn
b_mayyafarikin,levantine_arabic,,Mayyafariqin
b_mayyafarikin,maghreb_arabic,,Mayyafariqin
b_mayyafarikin,oghuz,,Meyafarikîn
b_mayyafarikin,sicilian_arabic,,Mayyafariqin
b_mayyafarikin,turkish,,Meyafarikîn
b_mayyafarikin,turkmen,,Meyafarikîn
b_hisnkayf,b_hisnkayf,,Hisn Kayf
b_hisnkayf,b_hisnkayf_adj,,
b_hisnkayf,armenian,,Harsenkev
b_hisnkayf,assyrian,,Hésn Kayfa
b_hisnkayf,greek,,Kiphas
b_hisnkayf,kurdish,,Heskîf
b_hisnkayf,oghuz,,Hasankeyf
b_hisnkayf,turkish,,Hasankeyf
b_hisnkayf,turkmen,,Hasankeyf
b_siird,b_siird,,Si'ird
b_siird,b_siird_adj,,
b_siird,armenian,,Sgert
b_siird,assyrian,,Si'reth
b_siird,greek,,Sirte
b_siird,kurdish,,Sêrt
b_siird,oghuz,,Si'irt
b_siird,turkish,,Si'irt
b_siird,turkmen,,Si'irt
b_arzan,b_arzan,,Ardzen
b_arzan,b_arzan_adj,,
b_arzan,andalusian_arabic,,Arzan
b_arzan,assyrian,,Arzun
b_arzan,bedouin_arabic,,Arzan
b_arzan,egyptian_arabic,,Arzan
b_arzan,greek,,Nikephorion
b_arzan,kurdish,,Arzan
b_arzan,levantine_arabic,,Arzan
b_arzan,maghreb_arabic,,Arzan
b_arzan,oghuz,,Erzen
b_arzan,sicilian_arabic,,Arzan
b_arzan,turkish,,Erzen
b_arzan,turkmen,,Erzen
d_jazira,d_jazira,,Diyar Mudar
d_jazira,d_jazira_adj,,Mudaran
d_jazira,greek,,Euphratensis
d_jazira,d_jazira_adj_greek,,Euphratensian
d_jazira,roman,,Euphratensis
c_asas,PROV709,,Ar-Raqqah
c_asas,c_asas,,
c_asas,c_asas_adj,,Asasian
c_asas,greek,,Kallinikos
c_asas,c_asas_adj_greek,,Kallinikan
c_asas,roman,,Callinicum
b_rakka,b_rakka,,ar-Raqqah
b_rakka,b_rakka_adj,,
b_rakka,greek,,Kallinikos
b_rakka,roman,,Callinicum
b_qalatjabar,b_qalatjabar,,Qal'at Ja'bar
b_qalatjabar,b_qalatjabar_adj,,
b_qalatjabar,greek,,Dausara
b_qalatjabar,oghuz,,Caber Hisar
b_qalatjabar,roman,,Dausara
b_qalatjabar,turkish,,Caber Hisar
b_qalatjabar,turkmen,,Caber Hisar
b_talabyad,b_talabyad,,Tal Abyad
b_talabyad,b_talabyad_adj,,
b_resafa,b_resafa,,Resafa
b_resafa,b_resafa_adj,,
b_resafa,greek,,Sergioupolis
b_resafa,roman,,Sergiopolis
b_ar-rafiqa,b_ar-rafiqa,,ar-Rafiqah
b_ar-rafiqa,b_ar-rafiqa_adj,,
b_bizunasyria,b_bizunasyria,,Bizuna
b_bizunasyria,b_bizunasyria_adj,,
b_zarzakka,b_zarzakka,,Mar Zakka
b_zarzakka,b_zarzakka_adj,,
c_al_bichri,PROV710,,Rahba
c_al_bichri,c_al_bichri,,
c_al_bichri,c_al_bichri_adj,,Al Bichrian
c_al_bichri,assyrian,,Qerqesin
c_al_bichri,greek,,Kirkesion
c_al_bichri,c_al_bichri_adj_greek,,Kirkesian
c_al_bichri,roman,,Circesium
b_bichri,b_bichri,,ar-Rahba
b_bichri,b_bichri_adj,,
b_deiralzur,b_deiralzur,,Deir al-Zur
b_deiralzur,b_deiralzur_adj,,
b_deiralzur,armenian,,Der Zor
b_deiralzur,greek,,Deir
b_deiralzur,roman,,Deir
b_osrhoene,b_osrhoene,,Qarqisiya
b_osrhoene,b_osrhoene_adj,,
b_osrhoene,assyrian,,Qerqesin
b_osrhoene,greek,,Kirkesion
b_osrhoene,roman,,Circesium
b_abukamal,b_abukamal,,Abu Kamal
b_abukamal,b_abukamal_adj,,
b_shamiyya,b_shamiyya,,Shamiyya
b_shamiyya,b_shamiyya_adj,,
b_mayadin,b_mayadin,,Mayadin
b_mayadin,b_mayadin_adj,,
b_sirhi,b_sirhi,,Sirhi
b_sirhi,b_sirhi_adj,,
b_mhaymidah,b_mhaymidah,,Mhaymidah
b_mhaymidah,b_mhaymidah_adj,,
c_harran,PROV1238,,Harran
c_harran,c_harran,,
c_harran,c_harran_adj,,Harranan
c_harran,greek,,Karrai
c_harran,c_harran_adj_greek,,Karraian
c_harran,roman,,Carrhae
b_harran,b_harran,,Harran
b_harran,b_harran_adj,,
b_harran,greek,,Karrai
b_harran,roman,,Carrhae
b_tallmazwan,b_tallmazwan,,Tall Mazwan
b_tallmazwan,b_tallmazwan_adj,,
b_akcakale,b_akcakale,,Akçakale
b_akcakale,b_akcakale_adj,,
b_ceylanpinar,b_ceylanpinar,,Ceylanpinar
b_ceylanpinar,b_ceylanpinar_adj,,
d_diyareast,d_diyareast,,Diyar Rabi'a
d_diyareast,d_diyareast_adj,,Rabian
c_mardin,PROV1239,,Mardin
c_mardin,c_mardin,,
c_mardin,c_mardin_adj,,Mardinian
c_mardin,andalusian_arabic,,Mâridîn
c_mardin,c_mardin_adj_andalusian_arabic,,Mâridînian
c_mardin,assyrian,,Merdô
c_mardin,bedouin_arabic,,Mâridîn
c_mardin,c_mardin_adj_bedouin_arabic,,Mâridînian
c_mardin,egyptian_arabic,,Mâridîn
c_mardin,c_mardin_adj_egyptian_arabic,,Mâridînian
c_mardin,greek,,Marida
c_mardin,c_mardin_adj_greek,,Maridan
c_mardin,kurdish,,Mêrdîn
c_mardin,c_mardin_adj_kurdish,,Mêrdînian
c_mardin,levantine_arabic,,Mâridîn
c_mardin,c_mardin_adj_levantine_arabic,,Mâridînian
c_mardin,maghreb_arabic,,Mâridîn
c_mardin,c_mardin_adj_maghreb_arabic,,Mâridînian
c_mardin,sicilian_arabic,,Mâridîn
c_mardin,c_mardin_adj_sicilian_arabic,,Mâridînian
b_maridin,b_maridin,,Maridin
b_maridin,b_maridin_adj,,
b_maridin,andalusian_arabic,,Mâridîn
b_maridin,armenian,,Marida
b_maridin,assyrian,,Merdô
b_maridin,bedouin_arabic,,Mâridîn
b_maridin,egyptian_arabic,,Mâridîn
b_maridin,greek,,Marida
b_maridin,kurdish,,Mêrdîn
b_maridin,levantine_arabic,,Mâridîn
b_maridin,maghreb_arabic,,Mâridîn
b_maridin,sicilian_arabic,,Mâridîn
b_resaina,b_resaina,,Resaina
b_resaina,b_resaina_adj,,
b_resaina,andalusian_arabic,,Ra's al-Ayn
b_resaina,assyrian,,Reš Ayna
b_resaina,bedouin_arabic,,Ra's al-Ayn
b_resaina,egyptian_arabic,,Ra's al-Ayn
b_resaina,levantine_arabic,,Ra's al-Ayn
b_resaina,maghreb_arabic,,Ra's al-Ayn
b_resaina,oghuz,,Resulayn
b_resaina,sicilian_arabic,,Ra's al-Ayn
b_resaina,turkish,,Resulayn
b_resaina,turkmen,,Resulayn
b_dunaysir,b_dunaysir,,Dunaysir
b_dunaysir,b_dunaysir_adj,,
b_dunaysir,andalusian_arabic,,Dunaysir
b_dunaysir,armenian,,Tyel-Armen
b_dunaysir,bedouin_arabic,,Dunaysir
b_dunaysir,egyptian_arabic,,Dunaysir
b_dunaysir,greek,,Margdis
b_dunaysir,kurdish,,Qoser
b_dunaysir,levantine_arabic,,Dunaysir
b_dunaysir,maghreb_arabic,,Dunaysir
b_dunaysir,oghuz,,Tell-Ermen
b_dunaysir,sicilian_arabic,,Dunaysir
b_dunaysir,turkish,,Tell-Ermen
b_dunaysir,turkmen,,Tell-Ermen
b_dairodmorhannanyo,b_dairodmorhannanyo,,Dairo d-Mor Hannanyo
b_dairodmorhannanyo,b_dairodmorhannanyo_adj,,
b_alsywaydaturkey,b_alsywaydaturkey,,Al-Suwayda
b_alsywaydaturkey,b_alsywaydaturkey_adj,,
b_alsywaydaturkey,oghuz,,Siverek
b_alsywaydaturkey,turkish,,Siverek
b_alsywaydaturkey,turkmen,,Siverek
c_amadiya,PROV684,,Amadiyah
c_amadiya,c_amadiya,,
c_amadiya,c_amadiya_adj,,Amadiyan
c_amadiya,armenian,,Korchayk
c_amadiya,c_amadiya_adj_armenian,,Korchaykan
c_amadiya,assyrian,,Amadiya
c_amadiya,greek,,Corduene
c_amadiya,c_amadiya_adj_greek,,Corduenan
c_amadiya,kurdish,,Kardox
c_amadiya,c_amadiya_adj_kurdish,,Kardoxi
c_amadiya,oghuz,,Amadiye
c_amadiya,turkish,,Amadiye
c_amadiya,turkmen,,Amadiye
b_amadiyah,b_amadiyah,,Imadiyah
b_amadiyah,b_amadiyah_adj,,
b_amadiyah,assyrian,,Amadiya
b_amadiyah,kurdish,,Amêdî
b_amadiyah,oghuz,,Amadiye
b_amadiyah,turkish,,Amadiye
b_amadiyah,turkmen,,Amadiye
b_hakkari,b_hakkari,,Colamerg
b_hakkari,b_hakkari_adj,,
b_hakkari,armenian,,Ilmar
b_hakkari,kurdish,,Colemêrg
b_hakkari,oghuz,,Çölemerik
b_hakkari,turkish,,Çölemerik
b_hakkari,turkmen,,Çölemerik
b_alki,b_alki,,Alki
b_alki,b_alki_adj,,
b_alki,kurdish,,Elkê
b_alki,oghuz,,Elki
b_alki,turkish,,Elki
b_alki,turkmen,,Elki
c_al_jazira,PROV698,,Jazîrat ibn 'Umar
c_al_jazira,c_al_jazira,,
c_al_jazira,c_al_jazira_adj,,Jazîrat ibn 'Umaran
c_al_jazira,assyrian,,Gazarta
c_al_jazira,c_al_jazira_adj_assyrian,,Gziran
c_al_jazira,greek,,Bethzabde
c_al_jazira,c_al_jazira_adj_greek,,Bethzabdan
c_al_jazira,kurdish,,Cizîr
c_al_jazira,c_al_jazira_adj_kurdish,,Cizîran
c_al_jazira,oghuz,,Cizre
c_al_jazira,c_al_jazira_adj_oghuz,,Cizran
c_al_jazira,turkish,,Cizre
c_al_jazira,c_al_jazira_adj_turkish,,Cizran
c_al_jazira,turkmen,,Cizre
c_al_jazira,c_al_jazira_adj_turkmen,,Cizran
b_jazirat,b_jazirat,,Jazîrat ibn 'Umar
b_jazirat,b_jazirat_adj,,
b_jazirat,assyrian,,Gzira
b_jazirat,greek,,Bethzabde
b_jazirat,kurdish,,Cizîr
b_jazirat,oghuz,,Cizre
b_jazirat,turkish,,Cizre
b_jazirat,turkmen,,Cizre
b_barqaid,b_barqaid,,Barqa'id
b_barqaid,b_barqaid_adj,,
b_faysabur,b_faysabur,,Faysabur
b_faysabur,b_faysabur_adj,,
b_faysabur,kurdish,,Faysh-Khabur
b_faysabur,pahlavi,,Peroz Shapur
c_sinjar,PROV711,,Sinjar
c_sinjar,c_sinjar,,
c_sinjar,c_sinjar_adj,,Sinjarian
c_sinjar,assyrian,,Beth Arabaye
c_sinjar,c_sinjar_adj_assyrian,,Beth Arabayan
c_sinjar,greek,,Singara
c_sinjar,c_sinjar_adj_greek,,Singaran
c_sinjar,kurdish,,Sengal
c_sinjar,c_sinjar_adj_kurdish,,Sengalan
c_sinjar,roman,,Singara
b_sinjar,b_sinjar,,Sinjar
b_sinjar,b_sinjar_adj,,
b_sinjar,assyrian,,Šiggar
b_sinjar,greek,,Singara
b_sinjar,kurdish,,Sengal
b_sinjar,roman,,Singara
b_tallafar,b_tallafar,,Tall Afar
b_tallafar,b_tallafar_adj,,
b_tallafar,oghuz,,Telafer
b_tallafar,turkish,,Telafer
b_tallafar,turkmen,,Telafer
b_hayyal,b_hayyal,,Tall Hayyal
b_hayyal,b_hayyal_adj,,
b_baaj,b_baaj,,Ba'aj
b_baaj,b_baaj_adj,,
b_makisin,b_makisin,,Makisin
b_makisin,b_makisin_adj,,
c_bira,PROV700,,Nasîbîn
c_bira,c_bira,,
c_bira,c_bira_adj,,Nasîbînan
c_bira,armenian,,Mtsbin
c_bira,c_bira_adj_armenian,,Mtsbinan
c_bira,assyrian,,Nsibin
c_bira,greek,,Nisibis
c_bira,c_bira_adj_greek,,Nisibinan
c_bira,kurdish,,Nisêbîn
c_bira,oghuz,,Nusaybin
c_bira,c_bira_adj_oghuz,,Nusaybinan
c_bira,turkish,,Nusaybin
c_bira,c_bira_adj_turkish,,Nusaybinan
c_bira,turkmen,,Nusaybin
c_bira,c_bira_adj_turkmen,,Nusaybinan
b_nasibin,b_nasibin,,Nasibin
b_nasibin,b_nasibin_adj,,
b_nasibin,andalusian_arabic,,Nasîbîn
b_nasibin,armenian,,Mtsbin
b_nasibin,assyrian,,Nsibin
b_nasibin,bedouin_arabic,,Nasîbîn
b_nasibin,egyptian_arabic,,Nasîbîn
b_nasibin,greek,,Nisibis
b_nasibin,kurdish,,Nisêbîn
b_nasibin,levantine_arabic,,Nasîbîn
b_nasibin,maghreb_arabic,,Nasîbîn
b_nasibin,oghuz,,Nusaybin
b_nasibin,sicilian_arabic,,Nasîbîn
b_nasibin,turkish,,Nusaybin
b_nasibin,turkmen,,Nusaybin
b_dara,b_dara,,Dara
b_dara,b_dara_adj,,
b_araban,b_araban,,Araban
b_araban,b_araban_adj,,
b_amuda,b_amuda,,Amuda
b_amuda,b_amuda_adj,,
b_amuda,kurdish,,Amûdê
c_nineveh,PROV685,,Ninawa
c_nineveh,c_nineveh,,
c_nineveh,c_nineveh_adj,,Ninawan
c_nineveh,assyrian,,Hadyab
c_nineveh,c_nineveh_adj_assyrian,,Hadyaban
b_bartella,b_bartella,,Bartella
b_bartella,b_bartella_adj,,
b_karamlish,b_karamlish,,Karamlish
b_karamlish,b_karamlish_adj,,
b_bakhdida,b_bakhdida,,Bakhdida
b_bakhdida,b_bakhdida_adj,,
b_bakhdida,assyrian,,Beth Khdeda
b_baqofah,b_baqofah,,Baqofah
b_baqofah,b_baqofah_adj,,
b_baqofah,assyrian,,Beth Qopa
b_duhok,b_duhok,,Duhok
b_duhok,b_duhok_adj,,
b_duhok,andalusian_arabic,,Nohidrah
b_duhok,assyrian,,Nohadra
b_duhok,bedouin_arabic,,Nohidrah
b_duhok,egyptian_arabic,,Nohidrah
b_duhok,levantine_arabic,,Nohidrah
b_duhok,maghreb_arabic,,Nohidrah
b_duhok,sicilian_arabic,,Nohidrah
b_dehi,b_dehi,,Dehi
b_dehi,b_dehi_adj,,
c_erbil,PROV1591,,Erbil
c_erbil,c_erbil,,
c_erbil,c_erbil_adj,,Erbilian
c_erbil,andalusian_arabic,,Arbil
c_erbil,c_erbil_adj_andalusian_arabic,,Arbilian
c_erbil,assyrian,,Arbel
c_erbil,c_erbil_adj_assyrian,,Arbelian
c_erbil,bedouin_arabic,,Arbil
c_erbil,c_erbil_adj_bedouin_arabic,,Arbilian
c_erbil,egyptian_arabic,,Arbil
c_erbil,c_erbil_adj_egyptian_arabic,,Arbilian
c_erbil,greek,,Arbela
c_erbil,c_erbil_adj_greek,,Arbelian
c_erbil,kurdish,,Erbil
c_erbil,levantine_arabic,,Arbil
c_erbil,c_erbil_adj_levantine_arabic,,Arbilian
c_erbil,maghreb_arabic,,Arbil
c_erbil,c_erbil_adj_maghreb_arabic,,Arbilian
c_erbil,roman,,Arbela
c_erbil,sicilian_arabic,,Arbil
c_erbil,c_erbil_adj_sicilian_arabic,,Arbilian
b_arbil,b_arbil,,Arbil
b_arbil,b_arbil_adj,,
b_arbil,assyrian,,Arbel
b_arbil,greek,,Arbela
b_arbil,kurdish,,Erbil
b_arbil,roman,,Arbela
b_shaqlawa,b_shaqlawa,,Shaqlabad
b_shaqlawa,b_shaqlawa_adj,,
b_darabad,b_darabad,,Darband
b_darabad,b_darabad_adj,,
b_darabad,assyrian,,Beth Wazik
c_mosul,PROV697,,Mosul
c_mosul,c_mosul,,
c_mosul,c_mosul_adj,,Mosulian
c_mosul,assyrian,,Nînwe
c_mosul,c_mosul_adj_assyrian,,Ninwan
c_mosul,greek,,Mepsila
c_mosul,c_mosul_adj_greek,,Mepsilan
c_mosul,kurdish,,Mûsil
c_mosul,roman,,Mepsila
b_mosulcastle,b_mosulcastle,,Qala'at al-Mosul
b_mosulcastle,b_mosulcastle_adj,,
b_mosulcastle,greek,,Kastron Mepsila
b_mosulcastle,roman,,Castrum Mepsila
b_mosul,b_mosul,,Mosul
b_mosul,b_mosul_adj,,
b_mosul,assyrian,,Nînwe
b_mosul,greek,,Mepsila
b_mosul,kurdish,,Mûsil
b_mosul,roman,,Mepsila
b_baladmosul,b_baladmosul,,Balad
b_baladmosul,b_baladmosul_adj,,
b_bawazij,b_bawazij,,Bawazij
b_bawazij,b_bawazij_adj,,
b_bawazij,assyrian,,Beth Wazik
b_haditha,b_haditha,,Haditha
b_haditha,b_haditha_adj,,
b_haditha,assyrian,,Hdatta
